cluster_name,description
Cluster 1,NAVY PE HEATHER
Cluster 1,ECOGH/NAVY CAMO
Cluster 1,LIGHT STEEL/NAVY
Cluster 1,SOLID NAVY TRIBLEND
Cluster 1,HEATHER MIDNIGHT NAVY
Cluster 1,GRYHEATHER/NAVY
Cluster 1,NAVY TRIBLEND
Cluster 1,HYDRO HEATHER (DD)/NAVY
Cluster 1,DEEP NAVY
Cluster 1,ATHLETIC NAVY HEATHER
Cluster 1,REGAL NAVY HEATHER
Cluster 7,GRANITE HEATHER
Cluster 7,LIGHT STEEL HEATHER
Cluster 7,VIOLET TOUCH HEATHER
Cluster 7,ROSE BLUSH HEATHER
Cluster 7,FRESH BERRY HEATHER
Cluster 7,CHARCOAL HEATHER
Cluster 7,STRAWBERRY ROUGE HEATHER
Cluster 7,PLUM PORT HEATHER
Cluster 7,OATMEAL HEATHER
Cluster 7,CACTUS PE HEATHER
Cluster 7,OREGANO HEATHER
Cluster 7,CONCRETE PE HEATHER
Cluster 7,CONCRETE MARLED HEATHER
Cluster 7,WHEAT HEATHER
Cluster 7,NEON LEMON HEATHER
Cluster 7,FOG HEATHER/FOG HEATHER
Cluster 7,SLATE HEATHER
Cluster 7,VIOLET SPLENDOR HEATHER
Cluster 7,Y07757/SLATE HEATHER
Cluster 7,Y07750/SLATE HEATHER
Cluster 7,HEATHER DRIFTWOOD
Cluster 7,DEEP DIVE HEATHER
Cluster 7,LAVENDER INDIGO HEATHER
Cluster 7,SPRING LILAC HEATHER
Cluster 7,SLATE PE HEATHER
Cluster 7,SILVERSTONE HEATHER
Cluster 7,ATHLETIC ROYAL HEATHER
Cluster 7,LIGHT STEEL/CHARCOAL HEATHER
Cluster 7,ASH HEATHER
Cluster 7,NEON LIME HEATHER
Cluster 7,FOREST GROVE PE HEATHER
Cluster 7,HEATHER ROYAL
Cluster 7,SURF THE WEB HEATHER
Cluster 7,SCARLET HEATHER
Cluster 7,SCARLET HEATHER DD/STEALTH
Cluster 7,MID CHARCOAL HEATHER
Cluster 7,ARAMANTH HEATHER
Cluster 7,DIRTY HEATHER
Cluster 7,DEEP RASPBERRY HEATHER
Cluster 7,GRAPE SPLASH PE HEATHER
Cluster 7,TURQUOISE HEATHER
Cluster 7,PINE HEATHER
Cluster 7,CRANBERRY TART HEATHER
Cluster 7,HEATHER SUNSET CORAL
Cluster 7,HEATHER AQUA
Cluster 7,HEATHER DESERT TAN
Cluster 7,OREGANO PE HEATHER
Cluster 7,SILVERSTONE PE HEATHER
Cluster 7,INARI PE HEATHER
Cluster 7,PEBBLESTONE HEATHER
Cluster 7,URBAN LILAC PE HEATHER
Cluster 7,CACTUS HEATHER
Cluster 7,CONCENTRATED CORAL PE HEATHER
Cluster 3,EBONY
Cluster 3,EBONY SPACEDYE
Cluster 3,EBONY HEATHER
Cluster 3,NEW EBONY
Cluster 3,EBONY STRIPE
Cluster 3,GEO DRFTS #10556-AMRNTH/EBONY
Cluster 3,EBONY/EBONY
Cluster 3,CHARCOAL HEATHER/EBONY
Cluster 3,SCARLET/EBONY
Cluster 2,ECO TEAL
Cluster 2,ECO TRUE MIDNIGHT
Cluster 2,ECO ROSE QUARTZ
Cluster 2,ECO SUNSETCORAL
Cluster 2,ECO TRUE NAVY
Cluster 2,ECO TRUE SEA PINE
Cluster 2,ECO MOCK NICKEL
Cluster 2,ECO IVORY SEASIDE STRIPE
Cluster 2,ECO TRUE CURRANT
Cluster 2,ECO TRUE MOLE
Cluster 2,ECO TRUE CAMEL
Cluster 2,ECO TRUE DUSTY PINE
Cluster 2,ECO AQUA
Cluster 2,ECO SUMMER BRRY
Cluster 2,ECO PEACH
Cluster 2,ECO TRUE EMPERADOR
Cluster 2,ECO IVORY
Cluster 2,ECO TRUE SEA TURTLE
Cluster 2,ECO TRUE RUST
Cluster 2,ECO CANVAS
Cluster 2,ECO TRUE ROSE QUARTZ
Cluster 2,ECO IVORY/ECO TRUE BURGUNDY
Cluster 2,ECO TRUE ROYAL
Cluster 2,ECO IVORY INK STRIPE
Cluster 2,ECO WHEAT STITCH STRIPE
Cluster 2,ECO TRUE TURQ
Cluster 2,ECO WHEAT
Cluster 2,ECO MOCK STORM
Cluster 2,ECO TRUE HUCKLEBERRY
Cluster 2,ECO TRUE BRONZE
Cluster 2,ECO TRUE SPICED CLAY
Cluster 2,ECO DRIFTWOOD
Cluster 2,ECO MOCK MIDNT
Cluster 2,ECO NAVY / ECO TRUE NAVY
Cluster 2,ECO GLACIER BLU
Cluster 2,ECO BLK-ECO IVRY INKSTRP-ECOGH
Cluster 2,ECO TRUE PALE VIOLET
Cluster 8,DARK NAVY
Cluster 8,DARK NAVY/IVORY
Cluster 8,ECO TRUE DARK OLIVE
Cluster 8,DARK SCREE
Cluster 8,DARK CHOCOLATE
Cluster 8,DARK AQUAMARINE HEATHER
Cluster 8,DARK TEAL
Cluster 8,DARK AQUAMARINE
Cluster 8,DARK EGGPLANT
Cluster 8,DARK TRUFFLE
Cluster 8,DARK PLUM
Cluster 8,DARK OLIVE
Cluster 8,DARK CHOCOLATE HEATHER
Cluster 6,OCEAN DEPTHS
Cluster 6,OCEAN DEPTHS HTR
Cluster 6,Y07794/OCEAN DEPTHS
Cluster 6,EARTH OCEAN
Cluster 6,Y07797/OCEAN DEPTHS
Cluster 6,HAWAIIAN OCEAN HEATHER
Cluster 5,NEW FROSTY LAVENDER STRIPE
Cluster 5,MIDNIGHT SEASIDE STRIPE
Cluster 5,HYDRO GLITCH STRIPE
Cluster 5,AMARANTH GLITCH STRIPE
Cluster 5,OXFORD HTR/OATMEAL HTR
Cluster 5,OATMEAL HTR/OXFORD HTR
Cluster 5,Y06902/BLUJAZZHTR W/NAT STRIPE
Cluster 5,AMARANTH HTR
Cluster 5,Y06903/BLUJAZZHTR W/NAT STRIPE
Cluster 5,Y06902/ATH ROY HTR W/NAT STRPE
Cluster 5,Y06903/NAVY HTR W/NAT STRIPE
Cluster 5,Y06902/NAVY HTR W/NAT STRIPE
Cluster 5,Y06903/OATMEALHTR W/GRY STRIPE
Cluster 5,Y06903/ATH ROY HTR W/NAT STRPE
Cluster 5,Y06902/CHAR HTR W/NAT STRIPE
Cluster 5,Y06902/OATMEALHTR W/GRY STRIPE
Cluster 5,Y06903/CHAR HTR W/NAT STRIPE
Cluster 5,MIDNIGHT RIVIERA STRIPE - USA
Cluster 5,SILVER LAKE OD SEASIDE STRIPE
Cluster 5,SCARLET HTR
Cluster 5,ATHELTIC ROYAL HTR
Cluster 5,CURRANT OD CLASSIC STRIPE
Cluster 5,SPICED CORAL OD RIVIERA STRIPE
